"id","name","city","district","star_rating","price_per_night","available_rooms","amenities","address"
"33","万枫(北京五棵松店)","北京","西城区","4","783","55","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","北京市西城区五棵松路339号"
"34","首都三里屯格兰云天酒店","北京","西城区","4","412","40","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","北京市西城区三里屯路30号"
"35","诺富特(前门都会店)","北京","丰台区","4","408","52","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","北京市丰台区前门路42号"
"36","北京金陵饭店(金融街店)","北京","朝阳区","4","472","56","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","北京市朝阳区金融街路127号"
"37","希尔顿逸林(京华王府井店)","北京","海淀区","4","617","33","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","北京市海淀区王府井路343号"
"38","首都西单中心郁锦香","北京","海淀区","4","657","49","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","北京市海淀区西单路162号"
"39","北京前门华美达酒店","北京","丰台区","4","568","52","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","北京市丰台区前门路136号"
"40","锦江都城(京城王府井店)","北京","东城区","4","511","48","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","北京市东城区王府井路427号"
"41","皇冠西单中航泊悦酒店","北京","丰台区","4","656","26","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","北京市丰台区西单路481号"
"42","锦江都城(王府井都会店)","北京","朝阳区","4","628","38","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","北京市朝阳区王府井路310号"
"43","桔子水晶(望京4号店)","北京","东城区","4","607","23","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","北京市东城区望京路48号"
"44","丽笙(国贸行政店)","北京","朝阳区","4","618","30","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","北京市朝阳区国贸路380号"
"45","京华五棵松丽怡酒店","北京","丰台区","4","427","29","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","北京市丰台区五棵松路280号"
"46","京城丽枫(金融街店)","北京","丰台区","3","212","32","免费WiFi,餐厅,洗衣房,会议室,停车场","北京市丰台区金融街路158号"
"47","北京望京商务青季","北京","东城区","3","206","52","免费WiFi,餐厅,洗衣房,会议室,停车场","北京市东城区望京路400号"
"48","锐思特(中关村中心店)","北京","东城区","3","405","56","免费WiFi,餐厅,洗衣房,会议室,停车场","北京市东城区中关村路13号"
"49","皇冠望京景观城市便捷","北京","大兴区","3","401","77","免费WiFi,餐厅,洗衣房,会议室,停车场","北京市大兴区望京路416号"
"50","京城如家商旅(中关村店)","北京","大兴区","3","403","32","免费WiFi,餐厅,洗衣房,会议室,停车场","北京市大兴区中关村路440号"
"51","喆啡(首都三里屯店)","北京","大兴区","3","258","80","免费WiFi,餐厅,洗衣房,会议室,停车场","北京市大兴区三里屯路447号"
"52","首都莫林风尚(国贸店)","北京","通州区","3","264","47","免费WiFi,餐厅,洗衣房,会议室,停车场","北京市通州区国贸路443号"
"53","京城和颐(望京店)","北京","通州区","3","353","64","免费WiFi,餐厅,洗衣房,会议室,停车场","北京市通州区望京路170号"
"54","北京西单全季酒店","北京","东城区","3","207","68","免费WiFi,餐厅,洗衣房,会议室,停车场","北京市东城区西单路223号"
"55","皇冠望京途客中国酒店","北京","海淀区","3","278","66","免费WiFi,餐厅,洗衣房,会议室,停车场","北京市海淀区望京路98号"
"56","格林东方(五棵松2号店)","北京","朝阳区","3","273","57","免费WiFi,餐厅,洗衣房,会议室,停车场","北京市朝阳区五棵松路36号"
"57","京华望京旗舰优程","北京","通州区","3","410","49","免费WiFi,餐厅,洗衣房,会议室,停车场","北京市通州区望京路260号"
"58","皇冠五棵松景观雅斯特","北京","西城区","3","255","65","免费WiFi,餐厅,洗衣房,会议室,停车场","北京市西城区五棵松路66号"
"59","尚客优品(五棵松5号店)","北京","通州区","3","257","55","免费WiFi,餐厅,洗衣房,会议室,停车场","北京市通州区五棵松路281号"
"60","亚朵(西单5号店)","北京","东城区","3","347","50","免费WiFi,餐厅,洗衣房,会议室,停车场","北京市东城区西单路239号"
"61","燕京三里屯度假艺龙壹堂","北京","丰台区","3","223","72","免费WiFi,餐厅,洗衣房,会议室,停车场","北京市丰台区三里屯路44号"
"62","都市花园(金融街旗舰店)","北京","西城区","3","352","49","免费WiFi,餐厅,洗衣房,会议室,停车场","北京市西城区金融街路116号"
"63","首都尚客优品(国贸店)","北京","朝阳区","3","336","79","免费WiFi,餐厅,洗衣房,会议室,停车场","北京市朝阳区国贸路38号"
"64","燕京秋果(金融街店)","北京","东城区","3","282","45","免费WiFi,餐厅,洗衣房,会议室,停车场","北京市东城区金融街路76号"
"65","北京五棵松中心亚朵","北京","东城区","3","312","59","免费WiFi,餐厅,洗衣房,会议室,停车场","北京市东城区五棵松路26号"
"66","北京前门度假如家商旅","北京","东城区","3","315","65","免费WiFi,餐厅,洗衣房,会议室,停车场","北京市东城区前门路305号"
"67","燕京柏曼(金融街店)","北京","大兴区","3","392","65","免费WiFi,餐厅,洗衣房,会议室,停车场","北京市大兴区金融街路229号"
"68","锦江之星品尚(前门精品店)","北京","海淀区","3","395","70","免费WiFi,餐厅,洗衣房,会议室,停车场","北京市海淀区前门路142号"
"69","燕京三里屯潮漫酒店","北京","西城区","3","362","48","免费WiFi,餐厅,洗衣房,会议室,停车场","北京市西城区三里屯路121号"
"70","格盟(望京旗舰店)","北京","丰台区","3","218","44","免费WiFi,餐厅,洗衣房,会议室,停车场","北京市丰台区望京路197号"
"71","皇冠白玉兰(三里屯店)","北京","朝阳区","3","264","64","免费WiFi,餐厅,洗衣房,会议室,停车场","北京市朝阳区三里屯路239号"
"72","北京锐思特(三里屯店)","北京","大兴区","3","411","79","免费WiFi,餐厅,洗衣房,会议室,停车场","北京市大兴区三里屯路300号"
"73","全季(京华五棵松店)","北京","海淀区","3","256","78","免费WiFi,餐厅,洗衣房,会议室,停车场","北京市海淀区五棵松路200号"
"74","京华锐思特(鸟巢店)","北京","大兴区","3","236","47","免费WiFi,餐厅,洗衣房,会议室,停车场","北京市大兴区鸟巢路224号"
"75","北京五棵松景观非繁城品","北京","西城区","3","222","59","免费WiFi,餐厅,洗衣房,会议室,停车场","北京市西城区五棵松路471号"
"76","布丁(鸟巢5号店)","北京","朝阳区","2","183","43","免费WiFi,24小时热水,空调,电视","北京市朝阳区鸟巢路43号"
"77","微客(首都前门店)","北京","东城区","2","147","81","免费WiFi,24小时热水,空调,电视","北京市东城区前门路109号"
"78","途窝(京城望京店)","北京","大兴区","2","195","93","免费WiFi,24小时热水,空调,电视","北京市大兴区望京路130号"
"79","燕京国贸尚客优酒店","北京","通州区","2","220","84","免费WiFi,24小时热水,空调,电视","北京市通州区国贸路115号"
"80","格林豪泰(国贸店)","北京","大兴区","2","124","42","免费WiFi,24小时热水,空调,电视","北京市大兴区国贸路319号"
"81","易佰(中关村2号店)","北京","海淀区","2","158","72","免费WiFi,24小时热水,空调,电视","北京市海淀区中关村路393号"
"82","逸客栈(金融街旗舰店)","北京","丰台区","2","138","53","免费WiFi,24小时热水,空调,电视","北京市丰台区金融街路297号"
"83","京城汉庭(金融街店)","北京","通州区","2","219","65","免费WiFi,24小时热水,空调,电视","北京市通州区金融街路39号"
"84","轻住(西单1号店)","北京","大兴区","2","143","108","免费WiFi,24小时热水,空调,电视","北京市大兴区西单路220号"
"85","北京鸟巢逸客栈酒店","北京","通州区","2","207","93","免费WiFi,24小时热水,空调,电视","北京市通州区鸟巢路422号"
"86","北京五棵松度假爱舍","北京","西城区","2","118","95","免费WiFi,24小时热水,空调,电视","北京市西城区五棵松路91号"
"87","皇冠住友(西单店)","北京","丰台区","2","158","95","免费WiFi,24小时热水,空调,电视","北京市丰台区西单路423号"
"88","轻时光(京城三里屯店)","北京","大兴区","2","211","97","免费WiFi,24小时热水,空调,电视","北京市大兴区三里屯路125号"
"89","途窝(京华金融街店)","北京","通州区","2","102","103","免费WiFi,24小时热水,空调,电视","北京市通州区金融街路436号"
"90","骏怡(首都前门店)","北京","东城区","2","142","75","免费WiFi,24小时热水,空调,电视","北京市东城区前门路451号"
"91","京华国贸轻时光酒店","北京","丰台区","2","129","92","免费WiFi,24小时热水,空调,电视","北京市丰台区国贸路251号"
"92","皇冠轻住(前门店)","北京","通州区","2","200","42","免费WiFi,24小时热水,空调,电视","北京市通州区前门路48号"
"93","宜居(首都五棵松店)","北京","通州区","2","183","114","免费WiFi,24小时热水,空调,电视","北京市通州区五棵松路189号"
"94","京华鸟巢景观花住","北京","西城区","2","169","82","免费WiFi,24小时热水,空调,电视","北京市西城区鸟巢路181号"
"95","京城西单途窝酒店","北京","西城区","2","191","64","免费WiFi,24小时热水,空调,电视","北京市西城区西单路162号"
"96","海友(鸟巢中心店)","北京","大兴区","2","126","101","免费WiFi,24小时热水,空调,电视","北京市大兴区鸟巢路142号"
"97","住友(京华西单店)","北京","朝阳区","2","128","86","免费WiFi,24小时热水,空调,电视","北京市朝阳区西单路92号"
"98","北京鸟巢尚美酒店","北京","东城区","2","105","110","免费WiFi,24小时热水,空调,电视","北京市东城区鸟巢路150号"
"99","布丁(前门3号店)","北京","朝阳区","2","159","101","免费WiFi,24小时热水,空调,电视","北京市朝阳区前门路226号"
"100","首都国贸六盘水酒店","北京","西城区","2","204","48","免费WiFi,24小时热水,空调,电视","北京市西城区国贸路206号"
"101","金陵江滨(新天地店)","上海","虹口区","5","1291","35","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","上海市虹口区新天地路289号"
"102","上海万达文华(静安寺店)","上海","黄浦区","5","1604","34","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","上海市黄浦区静安寺路268号"
"103","君澜度假(浦东人民广场店)","上海","静安区","5","926","29","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","上海市静安区人民广场路492号"
"104","威斯汀(静安寺旗舰店)","上海","静安区","5","1662","15","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","上海市静安区静安寺路283号"
"105","申城外滩度假凯宾斯基","上海","徐汇区","5","2604","19","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","上海市徐汇区外滩路17号"
"106","沪上徐家汇索菲特酒店","上海","虹口区","5","1636","39","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","上海市虹口区徐家汇路136号"
"107","六善(静安寺2号店)","上海","徐汇区","5","1290","39","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","上海市徐汇区静安寺路137号"
"108","瑞吉(外滩5号店)","上海","浦东新区","5","1862","24","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","上海市浦东新区外滩路64号"
"109","明宇豪雅(黄埔徐家汇店)","上海","虹口区","5","2729","27","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","上海市虹口区徐家汇路253号"
"110","上海新天地景观鲁能希尔顿","上海","黄浦区","5","2000","29","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","上海市黄浦区新天地路129号"
"111","上海静安寺万豪","上海","虹口区","5","1783","28","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","上海市虹口区静安寺路21号"
"112","文华东方(浦东五角场店)","上海","虹口区","5","1423","28","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","上海市虹口区五角场路224号"
"113","浦东六善(陆家嘴店)","上海","徐汇区","5","2045","20","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","上海市徐汇区陆家嘴路344号"
"114","威斯汀(申城虹桥店)","上海","徐汇区","5","2320","36","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","上海市徐汇区虹桥路390号"
"115","宝格丽(上海人民广场店)","上海","黄浦区","5","2004","13","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","上海市黄浦区人民广场路497号"
"116","东方建国铂萃(外滩店)","上海","虹口区","5","2372","11","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","上海市虹口区外滩路97号"
"117","沪上新天地度假新华联丽景","上海","闵行区","5","2490","34","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","上海市闵行区新天地路27号"
"118","沪上康莱德(五角场店)","上海","浦东新区","5","2665","13","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","上海市浦东新区五角场路15号"
"119","六善(东方静安寺店)","上海","虹口区","5","736","27","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","上海市虹口区静安寺路209号"
"120","申城陆家嘴旗舰君悦","上海","徐汇区","5","1310","25","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","上海市徐汇区陆家嘴路478号"
"121","东方美居(徐家汇店)","上海","徐汇区","4","599","49","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","上海市徐汇区徐家汇路283号"
"122","浦东静安寺都会亚朵S","上海","长宁区","4","489","24","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","上海市长宁区静安寺路142号"
"123","诺翰(沪上五角场店)","上海","静安区","4","655","57","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","上海市静安区五角场路297号"
"124","格兰云天(申城人民广场店)","上海","长宁区","4","690","55","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","上海市长宁区人民广场路391号"
"125","浦东人民广场商务中航泊悦","上海","静安区","4","594","56","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","上海市静安区人民广场路197号"
"126","浦东外滩度假全季旗舰","上海","静安区","4","740","44","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","上海市静安区外滩路340号"
"127","亚朵S(外滩3号店)","上海","浦东新区","4","452","48","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","上海市浦东新区外滩路52号"
"128","浦东岷山(外滩店)","上海","虹口区","4","508","24","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","上海市虹口区外滩路241号"
"129","沪上新天地景观开元曼居","上海","虹口区","4","432","41","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","上海市虹口区新天地路437号"
"130","中航泊悦(虹桥1号店)","上海","虹口区","4","420","35","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","上海市虹口区虹桥路324号"
"131","申城陆家嘴旗舰美居","上海","徐汇区","4","452","48","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","上海市徐汇区陆家嘴路86号"
"132","戴斯(上海外滩店)","上海","静安区","4","717","43","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","上海市静安区外滩路221号"
"133","亚朵S(五角场中心店)","上海","徐汇区","4","529","25","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","上海市徐汇区五角场路313号"
"134","万枫(静安寺中心店)","上海","徐汇区","4","822","60","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","上海市徐汇区静安寺路131号"
"135","澳斯特(沪上外滩店)","上海","闵行区","4","511","24","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","上海市闵行区外滩路227号"
"136","东方徐家汇景观康铂","上海","虹口区","4","606","49","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","上海市虹口区徐家汇路433号"
"137","申城淮海路戴斯酒店","上海","闵行区","4","592","44","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","上海市闵行区淮海路路293号"
"138","东方徐家汇康铂酒店","上海","虹口区","4","755","37","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","上海市虹口区徐家汇路5号"
"139","绿地九龙(黄埔外滩店)","上海","长宁区","4","585","58","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","上海市长宁区外滩路411号"
"140","申城静安寺精品康铂","上海","长宁区","4","490","60","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","上海市长宁区静安寺路50号"
"141","沪上人民广场行政希尔顿逸林","上海","黄浦区","4","484","25","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","上海市黄浦区人民广场路466号"
"142","美居(淮海路商务店)","上海","浦东新区","4","724","53","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","上海市浦东新区淮海路路257号"
"143","丽呈(申城徐家汇店)","上海","闵行区","4","696","27","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","上海市闵行区徐家汇路240号"
"144","华美达(静安寺3号店)","上海","闵行区","4","442","45","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","上海市闵行区静安寺路8号"
"145","东方陆家嘴行政开元曼居","上海","徐汇区","4","618","57","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","上海市徐汇区陆家嘴路196号"
"146","青季(静安寺5号店)","上海","徐汇区","3","263","69","免费WiFi,餐厅,洗衣房,会议室,停车场","上海市徐汇区静安寺路114号"
"147","黄埔人民广场精品和颐","上海","虹口区","3","284","37","免费WiFi,餐厅,洗衣房,会议室,停车场","上海市虹口区人民广场路72号"
"148","上海徐家汇丽枫酒店","上海","徐汇区","3","240","64","免费WiFi,餐厅,洗衣房,会议室,停车场","上海市徐汇区徐家汇路70号"
"149","浦东城家(虹桥店)","上海","虹口区","3","330","77","免费WiFi,餐厅,洗衣房,会议室,停车场","上海市虹口区虹桥路373号"
"150","白玉兰(陆家嘴4号店)","上海","闵行区","3","420","47","免费WiFi,餐厅,洗衣房,会议室,停车场","上海市闵行区陆家嘴路17号"
"151","青季(申城人民广场店)","上海","徐汇区","3","205","73","免费WiFi,餐厅,洗衣房,会议室,停车场","上海市徐汇区人民广场路189号"
"152","丽呈睿轩(黄埔虹桥店)","上海","黄浦区","3","228","37","免费WiFi,餐厅,洗衣房,会议室,停车场","上海市黄浦区虹桥路486号"
"153","上海静安寺秋果酒店","上海","虹口区","3","381","51","免费WiFi,餐厅,洗衣房,会议室,停车场","上海市虹口区静安寺路125号"
"154","星程(静安寺都会店)","上海","黄浦区","3","330","43","免费WiFi,餐厅,洗衣房,会议室,停车场","上海市黄浦区静安寺路417号"
"155","莫林风尚(沪上南京路店)","上海","闵行区","3","399","39","免费WiFi,餐厅,洗衣房,会议室,停车场","上海市闵行区南京路路67号"
"156","丽呈睿轩(南京路店)","上海","黄浦区","3","183","52","免费WiFi,餐厅,洗衣房,会议室,停车场","上海市黄浦区南京路路405号"
"157","如家商旅(东方虹桥店)","上海","黄浦区","3","193","38","免费WiFi,餐厅,洗衣房,会议室,停车场","上海市黄浦区虹桥路380号"
"158","东方锐思特(陆家嘴店)","上海","虹口区","3","294","79","免费WiFi,餐厅,洗衣房,会议室,停车场","上海市虹口区陆家嘴路186号"
"159","希岸(陆家嘴都会店)","上海","徐汇区","3","337","32","免费WiFi,餐厅,洗衣房,会议室,停车场","上海市徐汇区陆家嘴路373号"
"160","沪上人民广场潮漫酒店","上海","虹口区","3","302","55","免费WiFi,餐厅,洗衣房,会议室,停车场","上海市虹口区人民广场路219号"
"161","汉庭优佳(浦东人民广场店)","上海","黄浦区","3","335","39","免费WiFi,餐厅,洗衣房,会议室,停车场","上海市黄浦区人民广场路34号"
"162","沪上新天地都会星程","上海","虹口区","3","263","54","免费WiFi,餐厅,洗衣房,会议室,停车场","上海市虹口区新天地路306号"
"163","黄埔维也纳(五角场店)","上海","虹口区","3","295","44","免费WiFi,餐厅,洗衣房,会议室,停车场","上海市虹口区五角场路212号"
"164","优程(浦东淮海路店)","上海","徐汇区","3","289","50","免费WiFi,餐厅,洗衣房,会议室,停车场","上海市徐汇区淮海路路341号"
"165","沪上南京路格林东方酒店","上海","虹口区","3","203","35","免费WiFi,餐厅,洗衣房,会议室,停车场","上海市虹口区南京路路48号"
"166","美豪(虹桥1号店)","上海","闵行区","3","330","65","免费WiFi,餐厅,洗衣房,会议室,停车场","上海市闵行区虹桥路288号"
"167","黄埔陆家嘴行政优程","上海","徐汇区","3","420","78","免费WiFi,餐厅,洗衣房,会议室,停车场","上海市徐汇区陆家嘴路217号"
"168","沪上新天地如家精选酒店","上海","静安区","3","327","62","免费WiFi,餐厅,洗衣房,会议室,停车场","上海市静安区新天地路109号"
"169","白玉兰(黄埔人民广场店)","上海","浦东新区","3","396","65","免费WiFi,餐厅,洗衣房,会议室,停车场","上海市浦东新区人民广场路189号"
"170","维也纳(新天地5号店)","上海","浦东新区","3","337","73","免费WiFi,餐厅,洗衣房,会议室,停车场","上海市浦东新区新天地路330号"
"171","全季(东方徐家汇店)","上海","黄浦区","3","359","78","免费WiFi,餐厅,洗衣房,会议室,停车场","上海市黄浦区徐家汇路159号"
"172","优程(外滩4号店)","上海","浦东新区","3","197","39","免费WiFi,餐厅,洗衣房,会议室,停车场","上海市浦东新区外滩路380号"
"173","上海全季(五角场店)","上海","浦东新区","3","296","51","免费WiFi,餐厅,洗衣房,会议室,停车场","上海市浦东新区五角场路81号"
"174","沪上虹桥青季酒店","上海","闵行区","3","219","40","免费WiFi,餐厅,洗衣房,会议室,停车场","上海市闵行区虹桥路387号"
"175","黄埔陆家嘴度假如家精选","上海","静安区","3","288","61","免费WiFi,餐厅,洗衣房,会议室,停车场","上海市静安区陆家嘴路311号"
"176","浦东徐家汇一宿酒店","上海","浦东新区","2","143","95","免费WiFi,24小时热水,空调,电视","上海市浦东新区徐家汇路57号"
"177","黄埔新天地都会宜居","上海","徐汇区","2","138","45","免费WiFi,24小时热水,空调,电视","上海市徐汇区新天地路113号"
"178","拾光里(东方外滩店)","上海","黄浦区","2","220","67","免费WiFi,24小时热水,空调,电视","上海市黄浦区外滩路393号"
"179","沪上徐家汇布丁酒店","上海","静安区","2","162","95","免费WiFi,24小时热水,空调,电视","上海市静安区徐家汇路90号"
"180","布丁(五角场5号店)","上海","虹口区","2","205","85","免费WiFi,24小时热水,空调,电视","上海市虹口区五角场路37号"
"181","黄埔拾光里(外滩店)","上海","徐汇区","2","216","49","免费WiFi,24小时热水,空调,电视","上海市徐汇区外滩路442号"
"182","东方淮海路景观骏怡","上海","长宁区","2","180","93","免费WiFi,24小时热水,空调,电视","上海市长宁区淮海路路149号"
"183","海友(外滩4号店)","上海","静安区","2","205","86","免费WiFi,24小时热水,空调,电视","上海市静安区外滩路46号"
"184","微客(静安寺1号店)","上海","徐汇区","2","149","79","免费WiFi,24小时热水,空调,电视","上海市徐汇区静安寺路382号"
